"num","conm","tic","gvkey_chr","cusip","first_date","last_date","fds","Num_Articles","Num_Duplicates","Downloaded","Num_Files"
"1","ADC TELECOMMUNICATIONS INC","ADCT",1013,"000886309",2004-01-31,2007-06-30,"MGNEC",87,0,1,1
"2","AMERICAN AIRLINES GROUP INC","AAL",1045,"02376R102",2015-03-31,2018-06-30,"AMAIR",158,107,1,2
"3","PINNACLE WEST CAPITAL CORP","PNW",1075,"723484101",2004-01-31,2018-06-30,"PCLWC",153,23,1,2
"4","ABBOTT LABORATORIES","ABT",1078,"002824100",2004-01-31,2018-06-30,"ABOTLB",541,192,1,6
"5","ADVANCED MICRO DEVICES","AMD",1161,"007903107",2004-01-31,2018-06-30,"AMD",724,193,1,8
"6","AETNA INC","AET",1177,"00817Y108",2004-01-31,2018-06-30,"AETLA",1200,696,1,12
"7","AIR PRODUCTS & CHEMICALS INC","APD",1209,"009158106",2004-01-31,2018-06-30,"AIRPRO",181,85,1,2
"8","ALASKA AIR GROUP INC","ALK",1230,"011659109",2016-05-31,2018-06-30,"ALASAR",56,25,1,1
"9","ALBERTO-CULVER CO","ACV.1",1239,"013078100",2004-01-31,2006-10-31,"ALBCUL",93,0,1,1
"10","ALBERTSON'S INC","ABS.1",1240,"013104104",2004-01-31,2006-05-31,"ALBERS",106,0,1,2
"11","ALLEGHENY ENERGY INC","AYE",1279,"017361106",2004-01-31,2011-01-31,"ALLGP",107,16,1,2
"12","HONEYWELL INTERNATIONAL INC","HON",1300,"438516106",2004-01-31,2018-06-30,"ALDCHM",546,253,1,6
"13","ALLTEL CORP","AT.2",1318,"020039103",2004-01-31,2007-10-31,"MID",187,0,1,2
"14","SKYWORKS SOLUTIONS INC","SWKS",1327,"83088M102",2015-03-31,2018-06-30,"ALPHI",23,4,1,1
"15","AMERICAN ELECTRIC POWER CO","AEP",1440,"025537101",2004-01-31,2018-06-30,"AMELP",422,121,1,5
"16","AMERICAN EXPRESS CO","AXP",1447,"025816109",2004-01-31,2018-06-30,"AMEXPR",1200,644,1,12
"17","AMERICAN GREETINGS  -CL A","AM.1",1468,"026375105",2004-01-31,2004-04-30,"AMGRTC",6,0,1,1
"18","AMERICAN INTERNATIONAL GROUP","AIG",1487,"026874784",2004-01-31,2018-06-30,"AIU",1472,689,1,15
"19","ANALOG DEVICES","ADI",1632,"032654105",2004-01-31,2018-06-30,"ADEV",253,82,1,3
"20","NABORS INDUSTRIES LTD","NBR",1661,"G6359F103",2004-01-31,2015-02-28,"ANGLEN",203,47,1,3
"21","ANHEUSER-BUSCH COS INC","BUD.2",1663,"035229103",2004-01-31,2008-10-31,"ANHSRB",293,11,1,3
"22","APPLIED MATERIALS INC","AMAT",1704,"038222105",2004-01-31,2018-06-30,"APLMAT",525,232,1,6
"23","ARCHER-DANIELS-MIDLAND CO","ADM",1722,"039483102",2004-01-31,2018-06-30,"ARCH",534,219,1,6
"24","ASHLAND GLOBAL HOLDINGS INC","ASH",1794,"044186104",2004-01-31,2008-10-31,"ASHLND",160,2,1,2
"25","SOUTHERN CO GAS","GAS",1837,"001204106",2011-12-31,2016-06-30,"AGLRES",60,27,1,1
"26","AUTOMATIC DATA PROCESSING","ADP",1891,"053015103",2004-01-31,2018-06-30,"AUDAT",168,72,1,2
"27","AVERY DENNISON CORP","AVY",1913,"053611109",2004-01-31,2018-06-30,"AVRYI",233,68,1,3
"28","AVON PRODUCTS","AVP",1920,"054303102",2004-01-31,2015-02-28,"AVNCS",433,126,1,5
"29","BAKER HUGHES INC","BHI",1976,"057224107",2004-01-31,2017-06-30,"BAKINT",513,294,1,6
"30","CONSTELLATION ENERGY GRP INC","CEG",1995,"210371100",2004-01-31,2012-02-29,"BALGS",140,35,1,2
"31","BANK OF NEW YORK MELLON CORP","BK",2019,"064058100",2004-01-31,2018-06-30,"BNYC",317,268,1,4
"32","BARD (C.R.) INC","BCR",2044,"067383109",2004-01-31,2017-12-31,"BARDCR",187,67,1,2
"33","BAUSCH & LOMB HLDGS  -REDH","BOL",2085,"071707103",2004-01-31,2007-09-30,"BSCHL",236,0,1,3
"34","BAXTER INTERNATIONAL INC","BAX",2086,"071813109",2004-01-31,2018-06-30,"BTL",341,96,1,4
"35","BECTON DICKINSON & CO","BDX",2111,"075887109",2004-01-31,2018-06-30,"BEKDIK",174,86,1,2
"36","VERIZON COMMUNICATIONS INC","VZ",2136,"92343V104",2004-01-31,2018-06-30,"BELATT",770,372,1,8
"37","BEMIS CO INC","BMS",2154,"081437105",2004-01-31,2014-11-30,"BMIS",121,42,1,2
"38","BERKSHIRE HATHAWAY","BRK.B",2176,"084670702",2010-02-28,2018-06-30,"BKHT",811,828,1,9
"39","BEST BUY CO INC","BBY",2184,"086516101",2004-01-31,2018-06-30,"BSTBUY",658,301,1,7
"40","BLACK & DECKER CORP","BDK",2255,"091797100",2004-01-31,2010-02-28,"BLKDK",191,25,1,2
"41","BLOCK H & R INC","HRB",2269,"093671105",2004-01-31,2018-06-30,"BLHR",759,155,1,8
"42","ROBERT HALF INTL INC","RHI",2312,"770323103",2004-01-31,2018-06-30,"BCMP",137,27,1,2
"43","BRISTOL-MYERS SQUIBB CO","BMY",2403,"110122108",2004-01-31,2018-06-30,"BRSTMY",740,249,1,8
"44","BROWN FORMAN CORP","BF.B",2435,"115637209",2004-01-31,2018-06-30,"BRNFRM",433,161,1,5
"45","BURLINGTON NORTHERN SANTA FE","BNI",2490,"12189T104",2004-01-31,2010-01-31,"BRLNGT",193,9,1,2
"46","CAMPBELL SOUP CO","CPB",2663,"134429109",2004-01-31,2018-06-30,"CAMSUP",544,253,1,6
"47","CONSTELLATION BRANDS","STZ",2710,"21036P108",2005-07-31,2018-06-30,"CAWI",453,199,1,5
"48","CARDINAL HEALTH INC","CAH",2751,"14149Y108",2004-01-31,2018-06-30,"CDIST",554,161,1,6
"49","PROGRESS ENERGY INC","PGN.1",2783,"743263105",2004-01-31,2012-06-30,"CARPOL",215,74,1,3
"50","BBVA COMPASS BANCSHARES INC","CBSS",2849,"20449H109",2004-12-31,2007-08-31,"CBSS",51,0,1,1
"51","JPMORGAN CHASE & CO","JPM",2968,"46625H100",2004-01-31,2018-06-30,"CNYC",1600,1161,1,16
"52","CHURCH & DWIGHT INC","CHD",3026,"171340102",2015-12-31,2018-06-30,"CHDW",43,7,1,1
"53","CIRCUIT CITY STORES INC","CCTYQ",3054,"172737108",2004-01-31,2008-02-29,"WRD",243,0,1,3
"54","CLOROX CO/DE","CLX",3121,"189054109",2004-01-31,2018-06-30,"CLOR",457,137,1,5
"55","AVIS BUDGET GROUP INC","CAR",3278,"053774105",2004-01-31,2006-07-31,"CMPCRD",244,0,1,3
"56","DXC TECHNOLOGY COMPANY","DXC",3336,"23355L106",2004-01-31,2018-06-30,"CMPTSN",264,65,1,3
"57","CONAGRA BRANDS INC","CAG",3362,"205887102",2004-01-31,2018-06-30,"CAGRA",625,188,1,7
"58","CONSOLIDATED EDISON INC","ED",3413,"209115104",2004-01-31,2018-06-30,"CONSED",188,61,1,2
"59","CMS ENERGY CORP","CMS",3439,"125896100",2004-01-31,2018-06-30,"CONPOW",199,22,1,2
"60","COOPER INDUSTRIES PLC","CBE",3497,"G24140108",2004-01-31,2012-11-30,"COOPIN",161,20,1,2
"61","COOPER TIRE & RUBBER CO","CTB",3502,"216831107",2004-01-31,2006-06-30,"COOPTR",89,0,1,1
"62","COOPER COMPANIES INC","COO",3504,"216648402",2016-09-30,2018-06-30,"COOVIS",36,11,1,1
"63","MOLSON COORS BREWING CO","TAP",3505,"60871R209",2004-01-31,2018-06-30,"COORSA",256,109,1,3
"64","COUNTRYWIDE FINANCIAL CORP","CFC.3",3555,"222372104",2004-01-31,2008-06-30,"CCRIND",322,2,1,4
"65","DEERE & CO","DE",3835,"244199105",2004-01-31,2018-06-30,"DEERE",484,247,1,5
"66","DELTA AIR LINES INC","DALRQ",3851,"247361108",2004-01-31,2005-07-31,"DELTAA",221,0,1,3
