gvkey,conm,cusip,cik,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001000,A & E PLASTIK PAK INC,000032102,,P,01,LU,25881,23369,19701113,19780630
001001,A & M FOOD SERVICES INC,000165100,0000723576,P,01,LU,10015,6398,19830920,19860731
001002,AAI CORP,000352104,0000001745,C,01,LC,10023,22159,19721214,19730605
001003,A.A. IMPORTING CO INC,000354100,0000730052,C,01,LU,10031,6672,19831207,19890816
001004,AAR CORP,000361105,0000001750,P,01,LU,54594,20000,19720424,E
001005,A.B.A. INDUSTRIES INC,000370106,,C,01,LU,61903,11,19730131,19830131
001007,ABKCO INDUSTRIES INC,000774109,0000001882,C,00X,LU,10058,20,19731001,19790130
001007,ABKCO INDUSTRIES INC,000774109,0000001882,P,01,LU,10058,20,19790131,19840928
001008,ABM COMPUTER SYSTEMS INC,000775106,,P,01,LC,10066,6331,19830825,19871030
001009,ABS INDUSTRIES INC,000781104,0000313368,C,01,LC,10074,5271,19820118,19960313
001010,ACF INDUSTRIES HOLDING CORP,00099V004,0000910627,P,01,LU,10006,22156,19620131,19840628
001010,ACF INDUSTRIES HOLDING CORP,00099V004,0000910627,C,00X,LU,10006,22156,19500501,19620130
001011,ACS ENTERPRISES INC,000872309,0000702511,P,01,LC,10082,5793,19830321,19950928
001012,ACS INDUSTRIES INC,000874107,0000002134,P,01,LU,10103,52,19780131,19891229
001013,ADC TELECOMMUNICATIONS INC,000886309,0000061478,P,01,LU,50906,2902,19790316,20101231
001015,ADI ELECTRONICS INC,000893107,0000354609,P,01,LU,66405,5204,19820129,19861031
001016,AEC INC,001015106,0000317539,P,01,LC,10146,314,19771130,19880426
001017,AEL INDUSTRIES  -CL A,001030105,0000004911,P,01,LC,10154,81,19721214,19960229
001018,AES TECHNOLOGY SYSTEMS INC,001032101,0000002638,C,01,LU,10162,88,19790131,19810304
001018,AES TECHNOLOGY SYSTEMS INC,001032101,0000002638,C,00X,LU,10162,88,19730701,19790130
001019,AFA PROTECTIVE SYSTEMS INC,001038108,0000002668,C,01,LC,10189,93,19721214,19880209
001020,AFG INDUSTRIES INC,001054931,0000007668,P,02,LC,68806,100,19721214,19880405
001021,AFP IMAGING CORP,001058205,0000319126,P,01,LU,10218,109,19801014,19990319
001022,AGM INDUSTRIES INC,001220102,0000002801,P,01,LU,10234,118,19760831,19830728
001022,AGM INDUSTRIES INC,001220102,0000002801,C,00X,LU,10234,118,19730701,19760830
001023,AGS COMPUTERS INC,001240100,0000002844,P,01,LU,66755,5542,19820609,19881005
001024,A I A INDUSTRIES INC,001320100,,P,01,LU,10269,6202,19830721,19840928
001025,A I C INTL INC,001348101,0000002880,C,01,LU,47351,306,19730131,19850319
001026,AID INC-DEL CL A,001360106,0000002886,P,01,LU,10277,134,19721214,19780531
001027,A I M COS,001412105,,P,01,LU,28601,23555,19660131,19710528
001028,AIM TELEPHONES INC,001423102,0000354173,P,01,LU,10285,5148,19811029,19920131
001029,A.I.N. LEASING CORP,001425107,,P,01,LU,10293,6069,19830615,19851031
001030,A I T S INC,001444108,,C,01,LU,10306,145,19730131,19741016
001031,A J INDS INC,001476100,,C,00X,LU,10014,22157,19600401,19660130
001031,A J INDS INC,001476100,,P,01,LU,10014,22157,19660131,19770331
001034,ALPHARMA INC  -CL A,020813101,0000730469,P,01,LC,65832,20007,19840215,20081229
001036,UNITED DOMINION INDUSTRIES,909914103,0000029590,C,01,LC,65453,20008,19831206,20010531
001037,AM COMMUNICATIONS INC,001674100,0000318580,C,01,LU,10314,255,19801007,19880825
001038,AMC ENTERTAINMENT INC -OLD,001669100,,P,01,LU,66413,6301,19830818,20041231
001039,AMC INVESTORS INC,001670108,0000001857,P,01,LC,50526,25132,19700429,19791130
001040,AMF INC,001688100,0000006091,C,00X,LU,15763,22631,19500101,19620130
001040,AMF INC,001688100,0000006091,P,01,LU,15763,22631,19620131,19851031
001042,AMI SYSTEMS INC,001719103,0000355713,P,01,LU,10365,5554,19820621,19850628
001043,MULTIGRAPHICS INC,625440102,0000002310,C,01,LC,18980,20009,19620131,19820427
001043,MULTIGRAPHICS INC,625440102,0000002310,C,00X,LC,18980,20009,19501230,19620130
001043,MULTIGRAPHICS INC,625440102,0000002310,C,01,LC,18980,20009,19840510,19930519
001043,MULTIGRAPHICS INC,625440102,0000002310,C,01,LC,80071,30061,19931206,20000127
001044,AMK CORP,001732106,0000006143,C,01,LU,37591,21816,19680131,19700630
001045,AMERICAN AIRLINES GROUP INC,02376R102,0000006201,P,01,LC,21020,20010,19620131,20120104
001045,AMERICAN AIRLINES GROUP INC,02376R102,0000006201,C,00X,LC,21020,20010,19500101,19620130
001045,AMERICAN AIRLINES GROUP INC,02376R102,0000006201,P,04,LC,21020,20010,20131209,E
001046,AMS/REALSTAR INC,001785104,,P,01,LU,10373,7023,19840511,19850531
001047,ANEFCO INC,001812106,0000352979,C,01,LU,10381,3182,19810812,19830531
001049,APF ELECTRONICS,001855105,,P,01,LU,10400,304,19760130,19820526
001050,CECO ENVIRONMENTAL CORP,125141101,0000003197,P,01,LC,11499,176,19801128,E
001052,API TRUST,001864107,0000006839,P,01,LU,10402,311,19790131,19830331
001052,API TRUST,001864107,0000006839,C,00X,LU,10402,311,19730401,19790130
001054,ASK GROUP INC,001903103,0000354797,P,01,LU,10429,5118,19811001,19940930
001055,AST RESEARCH INC,001907104,0000725182,P,01,LU,85041,7357,19841220,19970829
001056,AEROFLEX INC,007768104,0000002601,P,01,LC,62500,336,19770630,20070831
001057,ABEX CORP,001935006,0000001866,C,00X,LC,10030,22160,19640101,19670130
001057,ABEX CORP,001935006,0000001866,P,01,LC,10030,22160,19670131,19671229
001058,APL CORP,002024107,0000006841,C,01,LU,28636,23557,19620702,19861030
001059,A P S INC,002030104,,P,01,LU,58958,25619,19721214,19810331
